SERIAL NUMBER,VIOLATION STATUS, VIOLATION CODE,VIOLATION DESCRIPTION
DA4585893,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT
DA4586029,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES
DA4586391,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT
DA4586800,OUT OF COMPLIANCE,RH40,COCKROACHES - PREMISES
DA4586814,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA4587114,OUT OF COMPLIANCE,H057,COCKROACHES - PREMISES
DA4587172,OUT OF COMPLIANCE,H027,INADEQUATE LIGHTING - UNIT
DA4587172,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA4587172,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT
DA4587172,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT
DA4587172,OUT OF COMPLIANCE,H037,VENTILATION - UNIT
DA4588041,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT
DA4588041,OUT OF COMPLIANCE,RH33,TOILET TANK/BASE/BOWL - UNIT
DA4593546,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT
DA4594032,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA4594032,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT
DA4594282,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT
DA4594282,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT
DA4594283,OUT OF COMPLIANCE,AK16,INFESTATION / HARBORAGE OF VERMIN (RODENTS)
DA4594283,OUT OF COMPLIANCE,VR63,EXCLUSION REQUIRED AT 1 OR MORE WALL/CEILING OPENINGS
DA4588304,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4588304,OUT OF COMPLIANCE,RH03,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4588307,OUT OF COMPLIANCE,H042,NO WATER - UNIT
DA4588316,OUT OF COMPLIANCE,H042,NO WATER - UNIT
DA4588333,OUT OF COMPLIANCE,H031,CAST-OFFS/DEBRIS/WASTE - UNIT
DA4588389,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT
DA4588389,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA4588389,OUT OF COMPLIANCE,RH09,WINDOWS/SCREENS - UNIT
DA4588389,OUT OF COMPLIANCE,RH33,TOILET TANK/BASE/BOWL - UNIT
DA4588581,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT
DA4588581,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4589008,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT
DA4589994,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4589994,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4593579,OUT OF COMPLIANCE,RH31,LIGHTING - UNIT
DA4593579,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4593579,OUT OF COMPLIANCE,RH04,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA4593579,OUT OF COMPLIANCE,RH18,VENT SCREENS - PREMISES
